"zone","Wind","Solar"
"ES",0.233547360227273,0.0175300353463368
"ES",0.227452177458864,0.0168445032378209
"ES",0.201691405003701,0.0152022395053321
"ES",0.17409057737317,0.0139818416857762
"ES",0.153570676354995,0.0131607098195318
"ES",0.137084110564973,0.012203978195559
"ES",0.127538824342747,0.0110513802548673
"ES",0.108151408657947,0.0413013650387988
"ES",0.0889338933624427,0.168825605699706
"ES",0.0729271676791789,0.334414594759513
"ES",0.0634807462223216,0.433224887796782
"ES",0.066987668470605,0.471020194224625
"ES",0.079999397782396,0.480126820674823
"ES",0.103280854474605,0.469338289023532
"ES",0.12780203785147,0.462835901911922
"ES",0.148092730494204,0.457984587925995
"ES",0.166122926517407,0.434862846201482
"ES",0.174633868066644,0.425685620500718
"ES",0.180390821329566,0.383110620657521
"ES",0.182155150248614,0.294365317207984
"ES",0.171621669583151,0.152757585563626
"ES",0.152885423742493,0.0457333250216914
"ES",0.133345952948103,0.0190678379117963
"ES",0.123497959171607,0.0179310745721303
