"zone","Wind","Solar"
"ES",0.233547360227273,0.0175300353463368
"ES",0.227452177458864,0.0168445032378209
"ES",0.201691405003701,0.0152022395053321
"ES",0.17409057737317,0.0139818416857762
"ES",0.153570676354995,0.0131607098195318
"ES",0.137840749184692,0.0120629916277884
"ES",0.126490496582492,0.0108335735040232
"ES",0.106901679701781,0.0409886710947164
"ES",0.0878048763206778,0.168592735287958
"ES",0.072345315874251,0.334254625032499
"ES",0.0636144572670104,0.433068703845734
"ES",0.067496473148858,0.470955987419448
"ES",0.0806134139314286,0.480165506884561
"ES",0.103856422487362,0.469599929631754
"ES",0.128298719546345,0.463111453290791
"ES",0.148437552862994,0.458236025374483
"ES",0.166283768638826,0.43512172050307
"ES",0.174942238294826,0.425767422398672
"ES",0.18093755180395,0.383157055631284
"ES",0.182832537385106,0.294376413856527
"ES",0.172351938218407,0.15268571798206
"ES",0.153668700596608,0.0457348631261859
"ES",0.134180843128622,0.0190740879460377
"ES",0.124007627715724,0.017934159881835
