"zone","Wind","Solar"
"ES",0.233547360227273,0.0175300353463368
"ES",0.227452177458864,0.0168445032378209
"ES",0.201691405003701,0.0152022395053321
"ES",0.17409057737317,0.0139818416857762
"ES",0.153570676354995,0.0131607098195318
"ES",0.137084110564973,0.012203978195559
"ES",0.127538824342747,0.0110513802548673
"ES",0.109401137614112,0.0416140589828813
"ES",0.091362025269872,0.169326430803444
"ES",0.0749165321400137,0.334961534868724
"ES",0.0629980335187933,0.434087422566813
"ES",0.0653963900672248,0.471545552350636
"ES",0.0782248752582872,0.479708967568095
"ES",0.101694098207903,0.465818169097213
"ES",0.126471425622553,0.458382670688854
"ES",0.147184297005812,0.453225467572743
"ES",0.165702828813504,0.429231410008981
"ES",0.173830721609218,0.42367026308121
"ES",0.178964804878722,0.381830146786433
"ES",0.180380062203463,0.294026130042698
"ES",0.169694248927639,0.155172868284966
"ES",0.150799194453696,0.0456768835984276
"ES",0.131098488773738,0.018818908996424
"ES",0.122109621259983,0.0177983934968216
